int,string
21002102,추적자의 본능 (헬멧) 2레벨
21002202,사냥꾼의 은신 (아머) 2레벨
21002302,정찰자의 민첩 (그리브) 2레벨
21002402,정밀의 사냥 (벨트) 2레벨
21002502,매복의 손길 (글러브) 2레벨
21003102,야생의 강인 (헬멧) 2레벨
21003202,포식자의 갑옷 (아머) 2레벨
21003302,생존의 요새 (그리브) 2레벨
21003402,야생의 지구력 (벨트) 2레벨
21003502,자연의 방어 (글러브) 2레벨
21004102,스카우터 (헬멧) 2레벨
21004202,디코이 (아머) 2레벨
21004302,픽셀레이티드 (그리브) 2레벨
21004402,데이터 누출 (벨트) 2레벨
21004502,프로그램 애러 (글러브) 2레벨
21005102,밤의 군주 (헬멧) 2레벨
21005202,어둠의 속삭임 (아머) 2레벨
21005302,영원한 암흑 (그리브) 2레벨
21005402,피의 욕망 (벨트) 2레벨
21005502,그림자의 손아귀 (글러브) 2레벨
21006102,전투의 충격 (헬멧) 2레벨
21006202,강철의 일격 (아머) 2레벨
21006302,무거운 충돌 (그리브) 2레벨
21006402,파괴의 무게 (벨트) 2레벨
21006502,짓누르는 힘 (글러브) 2레벨
21007102,힘의 시작 (헬멧) 2레벨
21007202,새로운 여정 (아머) 2레벨
21007302,모험의 첫걸음 (그리브) 2레벨
21007402,개척자의 도전 (벨트) 2레벨
21007502,시작의 용기 (글러브) 2레벨
21001103,지급된 HMD (헬멧) 3레벨
21001203,지급된 방탄조끼 (아머) 3레벨
21001303,지급된 전술바지 (그리브) 3레벨
21001403,유틸리티 벨트 (벨트) 3레벨
21001503,지급된 시계 (글러브) 3레벨
21002103,추적자의 본능 (헬멧) 3레벨
21002203,사냥꾼의 은신 (아머) 3레벨
21002303,정찰자의 민첩 (그리브) 3레벨
21002403,정밀의 사냥 (벨트) 3레벨
21002503,매복의 손길 (글러브) 3레벨
21003103,야생의 강인 (헬멧) 3레벨
21003203,포식자의 갑옷 (아머) 3레벨
21003303,생존의 요새 (그리브) 3레벨
21003403,야생의 지구력 (벨트) 3레벨
21003503,자연의 방어 (글러브) 3레벨
21004103,스카우터 (헬멧) 3레벨
21004203,디코이 (아머) 3레벨
21004303,픽셀레이티드 (그리브) 3레벨
21004403,데이터 누출 (벨트) 3레벨
21004503,프로그램 애러 (글러브) 3레벨
21005103,밤의 군주 (헬멧) 3레벨
21005203,어둠의 속삭임 (아머) 3레벨
21005303,영원한 암흑 (그리브) 3레벨
21005403,피의 욕망 (벨트) 3레벨
21005503,그림자의 손아귀 (글러브) 3레벨
21006103,전투의 충격 (헬멧) 3레벨
21006203,강철의 일격 (아머) 3레벨
21006303,무거운 충돌 (그리브) 3레벨
21006403,파괴의 무게 (벨트) 3레벨
21006503,짓누르는 힘 (글러브) 3레벨
21007103,힘의 시작 (헬멧) 3레벨
21007203,새로운 여정 (아머) 3레벨
21007303,모험의 첫걸음 (그리브) 3레벨
21007403,개척자의 도전 (벨트) 3레벨
21007503,시작의 용기 (글러브) 3레벨
21001104,지급된 HMD (헬멧) 4레벨
21001204,지급된 방탄조끼 (아머) 4레벨
21001304,지급된 전술바지 (그리브) 4레벨
21001404,유틸리티 벨트 (벨트) 4레벨
21001504,지급된 시계 (글러브) 4레벨
21002104,추적자의 본능 (헬멧) 4레벨
21002204,사냥꾼의 은신 (아머) 4레벨
21002304,정찰자의 민첩 (그리브) 4레벨
21002404,정밀의 사냥 (벨트) 4레벨
21002504,매복의 손길 (글러브) 4레벨
21003104,야생의 강인 (헬멧) 4레벨
21003204,포식자의 갑옷 (아머) 4레벨
21003304,생존의 요새 (그리브) 4레벨
21003404,야생의 지구력 (벨트) 4레벨
21003504,자연의 방어 (글러브) 4레벨
21004104,스카우터 (헬멧) 4레벨
21004204,디코이 (아머) 4레벨
21004304,픽셀레이티드 (그리브) 4레벨
21004404,데이터 누출 (벨트) 4레벨
21004504,프로그램 애러 (글러브) 4레벨
21005104,밤의 군주 (헬멧) 4레벨
21005204,어둠의 속삭임 (아머) 4레벨
21005304,영원한 암흑 (그리브) 4레벨
21005404,피의 욕망 (벨트) 4레벨
21005504,그림자의 손아귀 (글러브) 4레벨
21006104,전투의 충격 (헬멧) 4레벨
21006204,강철의 일격 (아머) 4레벨
21006304,무거운 충돌 (그리브) 4레벨
21006404,파괴의 무게 (벨트) 4레벨
21006504,짓누르는 힘 (글러브) 4레벨
21007104,힘의 시작 (헬멧) 4레벨
21007204,새로운 여정 (아머) 4레벨
21007304,모험의 첫걸음 (그리브) 4레벨
21007404,개척자의 도전 (벨트) 4레벨
21007504,시작의 용기 (글러브) 4레벨
21001105,지급된 HMD (헬멧) 5레벨
21001205,지급된 방탄조끼 (아머) 5레벨
21001305,지급된 전술바지 (그리브) 5레벨
21001405,유틸리티 벨트 (벨트) 5레벨
21001505,지급된 시계 (글러브) 5레벨
21002105,추적자의 본능 (헬멧) 5레벨
21002205,사냥꾼의 은신 (아머) 5레벨
21002305,정찰자의 민첩 (그리브) 5레벨
21002405,정밀의 사냥 (벨트) 5레벨
21002505,매복의 손길 (글러브) 5레벨
21003105,야생의 강인 (헬멧) 5레벨
21003205,포식자의 갑옷 (아머) 5레벨
21003305,생존의 요새 (그리브) 5레벨
21003405,야생의 지구력 (벨트) 5레벨
21003505,자연의 방어 (글러브) 5레벨
21004105,스카우터 (헬멧) 5레벨
21004205,디코이 (아머) 5레벨
21004305,픽셀레이티드 (그리브) 5레벨
21004405,데이터 누출 (벨트) 5레벨
21004505,프로그램 애러 (글러브) 5레벨
21005105,밤의 군주 (헬멧) 5레벨
21005205,어둠의 속삭임 (아머) 5레벨
21005305,영원한 암흑 (그리브) 5레벨
21005405,피의 욕망 (벨트) 5레벨
21005505,그림자의 손아귀 (글러브) 5레벨
21006105,전투의 충격 (헬멧) 5레벨
21006205,강철의 일격 (아머) 5레벨
21006305,무거운 충돌 (그리브) 5레벨
21006405,파괴의 무게 (벨트) 5레벨
21006505,짓누르는 힘 (글러브) 5레벨
21007105,힘의 시작 (헬멧) 5레벨
21007205,새로운 여정 (아머) 5레벨
21007305,모험의 첫걸음 (그리브) 5레벨
21007405,개척자의 도전 (벨트) 5레벨
21007505,시작의 용기 (글러브) 5레벨
21001106,지급된 HMD (헬멧) 6레벨
21001206,지급된 방탄조끼 (아머) 6레벨
21001306,지급된 전술바지 (그리브) 6레벨
21001406,유틸리티 벨트 (벨트) 6레벨
21001506,지급된 시계 (글러브) 6레벨
21002106,추적자의 본능 (헬멧) 6레벨
21002206,사냥꾼의 은신 (아머) 6레벨
21002306,정찰자의 민첩 (그리브) 6레벨
21002406,정밀의 사냥 (벨트) 6레벨
21002506,매복의 손길 (글러브) 6레벨
21003106,야생의 강인 (헬멧) 6레벨
21003206,포식자의 갑옷 (아머) 6레벨
21003306,생존의 요새 (그리브) 6레벨
21003406,야생의 지구력 (벨트) 6레벨
21003506,자연의 방어 (글러브) 6레벨
21004106,스카우터 (헬멧) 6레벨
21004206,디코이 (아머) 6레벨
21004306,픽셀레이티드 (그리브) 6레벨
21004406,데이터 누출 (벨트) 6레벨
21004506,프로그램 애러 (글러브) 6레벨
21005106,밤의 군주 (헬멧) 6레벨
21005206,어둠의 속삭임 (아머) 6레벨
21005306,영원한 암흑 (그리브) 6레벨
21005406,피의 욕망 (벨트) 6레벨
21005506,그림자의 손아귀 (글러브) 6레벨
21006106,전투의 충격 (헬멧) 6레벨
21006206,강철의 일격 (아머) 6레벨
21006306,무거운 충돌 (그리브) 6레벨
21006406,파괴의 무게 (벨트) 6레벨
21006506,짓누르는 힘 (글러브) 6레벨
21007106,힘의 시작 (헬멧) 6레벨
21007206,새로운 여정 (아머) 6레벨
21007306,모험의 첫걸음 (그리브) 6레벨
21007406,개척자의 도전 (벨트) 6레벨
21007506,시작의 용기 (글러브) 6레벨
